id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
p5-pendulum-squat,Pendulum Squat,,Plate-loaded machine,Squat / knee-dominant press,bilateral,external,Back pad follows long rotating lever arc; depth and foot platform set knee/hip loading.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-belt-squat,Belt Squat,Hip-belt squat,Plate-loaded machine,Squat / knee-dominant press,bilateral,external,Load attached at hips; squat to parallel while torso stays upright.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-horizontal-lever-leg-press,Horizontal Lever Leg Press,,Plate-loaded machine,Squat / knee-dominant press,bilateral,external,Seat fixed; feet drive a pivoting platform through controlled hip/knee extension.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-vertical-leg-press,Vertical Leg Press,,Plate-loaded machine,Squat / knee-dominant press,bilateral,external,"Supine under vertically moving platform; pelvis stays supported, no lumbar rounding.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-horizontal-seated-leg-press,Horizontal Seated Leg Press,,Selectorized machine,Squat / knee-dominant press,bilateral,external,Seat/platform travels horizontally against cable stack; maintain pelvis contact through ROM.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-leg-seated-leg-press,Single-Leg Seated Leg Press,,Selectorized machine,Squat / knee-dominant press,unilateral,external,"One foot on platform; supported pelvis, controlled knee/hip extension.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-landmine-squat,Landmine Squat,,Landmine,Squat / knee-dominant press,bilateral,external,Bar end held at chest; follow arc downward while maintaining full-foot pressure.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-band-squat,Band Squat,,Resistance band,Squat / knee-dominant press,bilateral,external,"Stand on band, handles at shoulders; squat through controlled hip/knee flexion.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-bodyweight-squat,Bodyweight Squat,Air squat,Bodyweight,Squat / knee-dominant press,bilateral,bodyweight,"Whole-foot stance, controlled squat to parallel or deeper.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Knee extension earns full quad credit; meaningful hip extension earns glute and adductor assistance. Hamstrings and spinal bracing are not automatically credited.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat | hip-thrust,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-assisted-sissy-squat,Assisted Sissy Squat,,Bodyweight,Knee extension,bilateral,bodyweight,Hold stable support; knees travel forward while hips stay relatively extended.,Quads,Quads,Quads=1,Resisted knee extension directly trains quadriceps; pelvic and ankle stabilization are not credited.,medium,Quads=medium,anatomy-lower,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-dumbbell-split-squat,Dumbbell Split Squat,Static dumbbell lunge | DB Split Squat,Dumbbell,Unilateral squat / lunge,unilateral,external,"Stationary staggered stance; rear toes supported, front knee and hip flex together.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Working-leg knee and hip extension load quads with glute/adductor assistance. Balance demand does not automatically earn glute med/min credit.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-dumbbell-rear-foot-elevated-split-squat,Dumbbell Rear-Foot-Elevated Split Squat,Bulgarian split squat | DB Rear-Foot-Elevated Split Squat,Dumbbell,Unilateral squat / lunge,unilateral,external,"Rear foot on bench, moderate stride and upright torso; lower front knee/hip under control.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Working-leg knee and hip extension load quads with glute/adductor assistance. Balance demand does not automatically earn glute med/min credit.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-dumbbell-reverse-lunge,Dumbbell Reverse Lunge,DB Reverse Lunge,Dumbbell,Unilateral squat / lunge,unilateral,external,Step backward and lower; drive through front leg to return.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Working-leg knee and hip extension load quads with glute/adductor assistance. Balance demand does not automatically earn glute med/min credit.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-dumbbell-walking-lunge,Dumbbell Walking Lunge,DB Walking Lunge,Dumbbell,Unilateral squat / lunge,unilateral,external,"Step forward each rep, moderate stride; count reps per leg.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Working-leg knee and hip extension load quads with glute/adductor assistance. Balance demand does not automatically earn glute med/min credit.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-dumbbell-step-up,Dumbbell Step-Up,DB Step-Up,Dumbbell,Unilateral squat / lunge,unilateral,external,"Stable box near knee height; rise using lead leg, minimize trailing-foot push.",Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Working-leg knee and hip extension load quads with glute/adductor assistance. Balance demand does not automatically earn glute med/min credit.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-dumbbell-lateral-lunge,Dumbbell Lateral Lunge,DB Lateral Lunge,Dumbbell,Unilateral squat / lunge,unilateral,external,Step sideways and sit into moving hip/knee while other leg stays straighter.,Quads,Quads | Glute max | Adductors,Quads=1 | Glute max=0.5 | Adductors=0.25,Working-leg knee and hip extension load quads with glute/adductor assistance. Balance demand does not automatically earn glute med/min credit.,medium,Quads=medium | Glute max=medium | Adductors=medium,anatomy-lower | squat,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-long-stride-rear-foot-elevated-split-squat,Long-Stride Rear-Foot-Elevated Split Squat,Glute-biased Bulgarian split squat,Dumbbell,Long-stride unilateral squat,unilateral,external,"Rear foot on bench; longer stance, forward torso and substantial front-hip flexion.",Glute max,Glute max | Quads | Adductors,Glute max=1 | Quads=0.5 | Adductors=0.25,"Long stride, forward torso and deep working-hip flexion emphasize hip extension while retaining substantial knee-extension work.",low,Glute max=low | Quads=low | Adductors=low,anatomy-lower | glute-review,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
